VIN,Frequency
1eebb03478e5a12c5,22
6117e3bb801e8f2e1,21
fe1c985060427689a,20
a32e27f535d235b64,19
8134db29f903ed969,18
64ba392cf2884d179,17
443a49fb1457bd55b,17
0cc52c123e7249598,16
d4ff6db0ce29809bb,15
b8c9a0b27f8401fa8,15
19f1b8f76580d4e9e,14
2834c42905ca75c6b,14
e45314748ef9438bd,14
3b0f02e4e98bf1f53,14
31b9f7066dbaf837e,14
180a1a190176df25c,13
66834ac67c765f16e,13
6c08bb427a386601e,13
9d6afd774b39aa637,12
13d4000c090d4966a,12
50851a65ff915b4bf,12
99936bccba1f1bdea,12
4a05f684b0a766f99,12
475372366aa40134f,11
507d14c073628be19,11
2f1db387d8f50e815,11
69667cd61cc5a21b8,11
81484216fe43312b9,11
f8eac4209aeadf2c2,11
89ffa868475b70a71,11
4822d58a853fc1304,11
0ce30487024acbb59,11
fddaff5f737acd281,11
48bcc33caad000ffd,11
6282494f12492742e,11
fd4777166cf4d0c58,11
809daa78511263ea0,10
fee5f8e3ded92b699,10
4e33df87e085c5a6c,10
e3d73b00f6945d161,10
fcf0964ae7a93f47b,10
94282990c781c94f8,10
1236c77f464464f43,10
a2fc49812da8c00b3,10
07cbcaad6ea7b76fa,10
85b1b011a30069f22,10
c8b83d3aaaf43c2ef,10
bc405a72599449a8f,10
9b10939d83912e708,10
0c2f0f203baf7ed72,10
a8b8a276e1b09faad,10
75fef0d271550473f,10
5766abe127f9df3c4,10
391db087153c951b9,10
1be7a80a6551f2dae,10
b634e40cef4738bec,10
3bc161fdc5608f462,9
08a0825ba20f1b009,9
2e69647a87a340b1e,9
468a8123fafd0e4de,9
3a28f229f8594bf2b,9
f0bb8f64349008414,9
b708d8414c0b9f9fd,9
a5272320f98e354ac,9
34af8a39e7e25faba,9
091a41e655adb5c1d,9
18e2c1d3860b08d9a,9
23d9f2ffc1a6a60aa,9
24571e2d8b0b6eb41,9
c2ae3f60ba6bbb587,9
7ad527d72fdce1a51,9
ff6a07133f81141d3,9
1b35b362f8efecbb0,9
23e1eb78c36bd0828,9
ee51a5aa3986a2443,9
5a8dfc08d07084e87,9
13264c779e8c4946f,9
221a2eeef2be4a9d8,9
2dfcc141a85e24b7c,9
bba7035a1f755158d,9
20927b47667b00f37,9
ca3c9a5b09cba38b9,9
c6a2c76eff7d75f18,9
0bb2579c776239944,9
0e8ed2e4d1ead347e,9
81542a64785d34432,9
5555d2d5e65faf82d,9
fddb28d48b045d2ae,9
c71c27ac203e8d617,9
54458a0ce26c0a53f,9
112cbd60b6ccb61ee,9
ff5904eac71398f3a,9
e37bdc5c705f07195,9
4bbc90e085bb3af6c,9
3ddcdcad2d06a0da4,8
dcb7ec3969fe7032a,8
6dead808334b25533,8
a55974e37f18de58f,8
7ab466304a87aadd2,8
0af3ec0a3ba9eefdf,8
a3a7d9f3cb0e325bd,8
d47843064fddc7584,8
809cb442e22520cca,8
ddd217546290b43d5,8
b74d2e0528d2bd5d7,8
99c10c369f4c7144a,8
