Word,Count
fahrzeug,6734
engine,4167
motor,3990
startet,2928
defekt,2689
electric,2571
porsche,2263
start,2094
reifen,1753
reifenpanne,1632
batterie,1626
problem,1596
battery,1433
gestört,1342
tyre,1323
towing,1239
light,1225
rechts,1119
motorsteuerung,1093
system,1062
motorkontrollleuchte,1056
mec,1038
fehlermeldung,1037
störung,1025
power,1012
batterij,986
check,945
links,907
fzg,886
auto,883
motorstart,874
accu,870
ruckelt,855
leistungsverlust,853
cooling,832
ausgefallen,818
suspension,816
leuchtet,784
failure,744
moteur,742
vehicle,717
fehlermeldungen,692
heizung,692
leistung,687
öffnen,685
ophalen,684
pcge,664
starthulp,650
fault,626
locatie,610
probleme,601
transporteren,583
voyant,548
malfunction,546
geräusche,545
warnlampen,536
arranca,531
reservewiel,524
bordnetz,523
dashboard,519
herstelbaar,514
fahrwerk,506
flashing,493
driving,472
verwarming,470
getriebe,452
crevaison,452
motorkontrolleuchte,437
fehler,437
transport,437
läuft,436
batteria,436
oil,434
klima,431
doorbrengen,423
ggf,421
möglich,420
verliert,420
einmal,420
bellen,419
leer,416
error,416
abstellen,416
gearbox,412
pannengrund,412
versicherungsnehmer,412
abfragen,412
panne,405
demarre,401
pca,390
anzeige,387
open,384
display,377
elektronik,375
elektrische,374
estacionar,370
heizanlage,370
anomalie,366
car,360
motorgeluid,357
starten,353
kühlmittelverlust,349
psm,348
garage,345
überhitzt,345
vtv,343
fahrt,343
motorleistung,339
laden,334
probleem,329
leak,328
bekanntes,327
sin,326
vhl,325
öl,323
motorstörung,316
sistema,316
orange,313
damaged,310
drive,310
gelderland,307
finished,303
komplett,298
charge,296
rsa,295
elektrisch,291
verlust,291
warnungen,288
noises,285
message,283
rueda,282
red,282
unfall,281
kühlmittel,280
generator,279
weiterfahrt,273
ölverlust,270
logicx,268
gaat,268
valorar,266
motore,265
wheel,265
doet,262
when,262
afleveren,259
pcm,258
leakage,257
pctw,253
warnlampe,252
blue,250
stark,248
voor,246
electricity,246
stop,244
air,243
zeigt,241
low,241
staat,240
steering,240
mehrere,239
gelbe,238
lädt,237
steht,236
coolant,236
recambio,234
rollfähig,234
pcr,233
testigo,232
brakes,228
control,227
platter,225
ersatzreifen,225
fährt,224
gas,221
reifenschaden,220
schlüssel,219
kühlsystem,218
rear,218
fuite,216
general,212
pce,211
reparaturkit,210
yellow,209
kühlflüssigkeit,208
alarm,207
funktion,207
funktioniert,207
centrum,207
blinkt,204
klant,202
accident,202
rot,201
liquide,199
platten,197
notlauf,195
refrigeraci,193
stromlos,192
kunde,191
achteraan,191
anders,191
